symbol,iqfSym,assetClass,exchange,description,tradedSym,notionalCurrency,notionalMultiplier,tickValueCurrency,tickValue,feesCurrency,feesPerLot
ZL0,@BO#C,Commodity,CME,Soybean Oil,BOF4 Comdty,USD,600,USD,6,USD,0.33
ZC0,@C#C,Commodity,CME,Corn,C H4 Comdty,USD,50,USD,12.5,USD,0.33
ZS0,@S#C,Commodity,CME,Soybeans,S H4 Comdty,USD,50,USD,12.5,USD,0.33
ZM0,@SM#C,Commodity,CME,Soybean Meal,SMH4 Comdty,USD,100,USD,10,USD,0.33
ZW0,@W#C,Commodity,CME,Chicago Wheat,W H4 Comdty,USD,50,USD,12.5,USD,0.33
KE0,@KW#C,Commodity,CME,Kansas Wheat,KWH4 Comdty,USD,50,USD,12.5,USD,0.33
LE0,@LE#C,Commodity,CME,Live Cattle,LCG4 Comdty,USD,400,USD,10,USD,0.61
GF0,@GF#C,Commodity,CME,Feeder Cattle,,USD,500,USD,12.5,USD,0.61
HE0,@HE#C,Commodity,CME,Lean Hog,,USD,400,USD,10,USD,0.61
HG0,QHG#C,Commodity,CME,Copper,HGH4 Comdty,USD,2500,USD,12.5,USD,1.65
GC0,QGC#C,Commodity,CME,Gold,,USD,100,USD,10,USD,1.65
SI0,QSI#C,Commodity,CME,Silver,,USD,5000,USD,25,USD,1.65
PA0,QPA#C,Commodity,CME,Palladium,,USD,100,USD,50,USD,1.65
PL0,QPL#C,Commodity,CME,Platinum,,USD,50,USD,5,USD,1.65
RB0,QRB#C,Commodity,CME,Gasoline,,USD,42000,USD,4.2,USD,1.6
CL0,QCL#C,Commodity,CME,Crude Light,CLG4 Comdty,USD,1000,USD,10,USD,1.65
HO0,QHO#C,Commodity,CME,Heating Oil,HOF4 Comdty,USD,42000,USD,4.20,USD,1.6
NG0,QNG#C,Commodity,CME,Natural Gas,,USD,10000,UD,10,USD,0
RS0,@RS#C,Commodity,ICE,Canola,RSH4 Comdty,CAD,20,CAD,2,CAD,0
W0,QW#C,Commodity,ICE,White Sugar,QWH4 Comdty,USD,50,USD,5,GBP,0.65
RC0,LRC#C,Commodity,ICE,Robusta Coffee,,USD,10,USD,10,GBP,0.65
ECO0,PG#C,Commodity,EURONEXT,Rapeseed / Colza,,EUR,50,EUR,12.5,EUR,0
ICE-US_CT0,@CT#C,Commodity,ICE,Cotton,CTH4 Comdty,USD,500,USD,5,USD,2.2
ICE-EU_BRN0,QBZ#C,Commodity,ICE,Brent Crude,,USD,1000,USD,10,USD,0.38
ICE-LX_C0,QC#C,Commodity,ICE,London Coca,,GBP,10,GBP,10,GBP,0.35
ICE-US_CC0,@CC#C,Commodity,ICE,US Cocoa,,USD,10,USD,10,USD,2.2
ICE-EU_G0,GAS#C,Commodity,ICE,Low Sulphur Gasoil,QSF4 Comdty,USD,100,USD,25,GBP,0.38
ICE-US_KC0,@KC#C,Commodity,ICE,Arabica Coffee,KCH4 Comdty,USD,375,USD,18.75,USD,2.2
ICE-US_SB0,@SB#C,Commodity,ICE,Sugar,,USD,1120,USD,11.2,USD,2.2
AUD=,AUDUSD.COMP,Fx,FX,Australian Dollar,,AUD,1,AUD,,,
BRL=,BRLUSD.COMP,Fx,FX,Brazilian Real,,BRL,1,BRL,,,
CAD=,CADUSD.COMP,Fx,FX,Canadian Dollar,,CAD,1,CAD,,,
CHF=,CHFUSD.COMP,Fx,FX,Swiss Franc,,CHF,1,CHF,,,
CNH=,CNHUSD.COMP,Fx,FX,Chinese Yuan,,CNH,1,CNH,,,
EUR=,EURUSD.COMP,Fx,FX,Euro,,EUR,1,EUR,,,
GBP=,GBPUSD.COMP,Fx,FX,British Pound,,GBP,1,GBP,,,
HKD=,HKDUSD.COMP,Fx,FX,Hong Kong Dollar,,HKD,1,HKD,,,
ILS=,ILSUSD.COMP,Fx,FX,Israeli Shekel,,ILS,1,ILS,,,
INR=,INRUSD.COMP,Fx,FX,Indian Rupee,,INR,1,INR,,,
JPY=,JPYUSD.COMP,Fx,FX,Japanese Yen,,JPY,1,JPY,,,
KRW=,KRWUSD.COMP,Fx,FX,Korean Won,,KRW,1,KRW,,,
MXN=,MXNUSD.COMP,Fx,FX,Mexian Peso,,MXN,1,MXN,,,
NOK=,NOKUSD.COMP,Fx,FX,Norwegian Krone,,NOK,1,NOK,,,
NZD=,NZDUSD.COMP,Fx,FX,New Zealand Dollar,,NZD,1,NZD,,,
PLN=,PLNUSD.COMP,Fx,FX,Polish Zloty,,PLN,1,PLN,,,
RUB=,RUBUSD.COMP,Fx,FX,Russian Ruble,,RUB,1,RUB,,,
SEK=,SEKUSD.COMP,Fx,FX,Swedish Krona,,SEK,1,SEK,,,
SGD=,SGDUSD.COMP,Fx,FX,Singaporean Dollar,,SGD,1,SGD,,,
THB=,THBUSD.COMP,Fx,FX,Thai Bhat,,THB,1,THB,,,
TWD=,TWDUSD.COMP,Fx,FX,Taiwanese Dollar,,TWD,1,TWD,,,
ZAR=,ZARUSD.COMP,Fx,FX,South African Rand,,ZAR,1,ZAR,,,
ZB0,@US#C,Bond,CME,US 30 Yr Bond,USH4 Comdty,USD,1000,USD,31.25,USD,0
ZN0,@TY#C,Bond,CME,US 10 Yr Bond,TYH4 Comdty,USD,1000,USD,7.8125,USD,0
ZF0,@FV#C,Bond,CME,US 5 Yr Bond,FVH4 Comdty,USD,1000,USD,7.8125,USD,0
ZT0,@TU#C,Bond,CME,US 2 Yr Bond,,USD,2000,USD,7.8125,USD,0
CONF0,CO#C,Bond,EUREX,Swiss Bond,,CHF,1000,CHF,10,CHF,0
FBTP0,BTP#C,Bond,EUREX,Italian Bond,IKH4 Comdty,EUR,1000,EUR,10,EUR,0
FBTS0,BTS#C,Bond,EUREX,Italian Short-Term Bond,,EUR,1000,EUR,10,EUR,0
