,Bloom Ticker,Exchange,Description,maxTradeSize,maxPosition
0,TYH4 Comdty,CME,10Y TNotes,8,76
1,FVH4 Comdty,CME,5YR T NOTES,7,62
2,IKH4 Comdty,EUREX,Italian Bond,7,64
3,XPH4 Index,SFE,SPI 200,8,80
4,ESH4 Index,CME,EMINI S&P,9,89
5,SMH4 Index,EUREX,Swiss Blue Chip Index,5,43
6,AIH4 Index,JSE,ED OPI ALSI,30,292
7,C H4 Comdty,CME,Corn,16,157
8,S H4 Comdty,CME,SOYBEANS,5,49
9,SMK4 Comdty,CME,SOY MEAL,24,234
10,W H4 Comdty,CME,WHEAT SRW,12,120
11,KWK4 Comdty,CME,WHEAT HRW,18,176
12,LCJ4 Comdty,CME,LIVE CATTLE,20,191
13,CLH4 Comdty,CME,LIGHT CRUDE,6,51
14,HOJ4 Comdty,CME,Heating Oil,9,83
15,RSK4 Comdty,ICE,ICE CANOLA,45,445
16,QWK4 Comdty,ICE,SUGAR NO5,13,122
17,CTK4 Comdty,ICE,ICE COT 2,23,229
18,QSG4 Comdty,ICE,Low Sulphur Gasoil,6,60
19,KCK4 Comdty,ICE,ICE COFFEE,7,66
